RawInputStyle,gold_vendor_normalized,gold_category,amount,gold_tags
Vivo Corp. Smart Gadgets PO-6688 12K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),12000.0,
iQOO Ltd. Mobile Dev PO-7556 750M,iQOO Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),750000000.0,
Samsng Ltd. Comm Tools PO-8132 838K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),838000.0,
Samsng Ltd. Smart Gadgets PO-3529 265K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),265000.0,
Vivo Corp. Smart Gadgets PO-2945 116K,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),116000.0,
Oppo Co. Smart Gadgets PO-3848 968M,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),968000000.0,
Honor Ltd. Smart Gadgets PO-4325 745M,Honor Device Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),745000000.0,
Redmi Intl. Comm Tools PO-5367 784K,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),784000.0,
Appl Inc. Mobile Dev PO-2143 778K,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),778000.0,
Realme Pvt. Mobile Dev PO-8637 455M,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),455000000.0,
Samsng Ltd. Smart Gadgets PO-2752 76K,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),76000.0,
iQOO Ltd. Smart Gadgets PO-7738 214M,iQOO Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),214000000.0,
Realme Pvt. Comm Tools PO-8449 498M,Realme Pvt. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),498000000.0,
Vivo Corp. Comm Tools PO-6235 378K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),378000.0,
Appl Inc. IT Eqpt PO-9668 220K,Apple Inc.,IT Equipment > General (UNSPSC: 43210000),220000.0,
Samsng Ltd. Comm Tools PO-5158 103K,Samsung Electronics Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),103000.0,
iQOO Ltd. IT Eqpt PO-4887 758M,iQOO Ltd.,IT Equipment > General (UNSPSC: 43210000),758000000.0,
Oppo Co. Smart Gadgets PO-4795 72K,OPPO Electronics Corp.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),72000.0,
Vivo Corp. Comm Tools PO-5993 491M,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),491000000.0,
Vivo Corp. IT Eqpt PO-8991 371K,Vivo Communication Technology Co. Ltd.,IT Equipment > General (UNSPSC: 43210000),371000.0,
Vivo Corp. Comm Tools PO-3772 861K,Vivo Communication Technology Co. Ltd.,Communication Equipment > Tools (UNSPSC: 43191500),861000.0,
Honor Ltd. Mobile Dev PO-6244 305K,Honor Device Co. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),305000.0,
Realme Pvt. Mobile Dev PO-4793 840K,Realme Pvt. Ltd.,Mobile Devices > Smartphones (UNSPSC: 43191501),840000.0,
Appl Inc. Mobile Dev PO-3837 504M,Apple Inc.,Mobile Devices > Smartphones (UNSPSC: 43191501),504000000.0,
Oppo Co. IT Eqpt PO-9504 583M,OPPO Electronics Corp.,IT Equipment > General (UNSPSC: 43210000),583000000.0,
Oppo Co. Mobile Dev PO-6865 420M,OPPO Electronics Corp.,Mobile Devices > Smartphones (UNSPSC: 43191501),420000000.0,
Redmi Intl. Comm Tools PO-8978 3K,Xiaomi Redmi (International),Communication Equipment > Tools (UNSPSC: 43191500),3000.0,
Samsng Ltd. Smart Gadgets PO-3365 617M,Samsung Electronics Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),617000000.0,
Redmi Intl. IT Eqpt PO-4914 948K,Xiaomi Redmi (International),IT Equipment > General (UNSPSC: 43210000),948000.0,
Appl Inc. Smart Gadgets PO-1678 29M,Apple Inc.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),29000000.0,
Vivo Corp. Smart Gadgets PO-1363 908M,Vivo Communication Technology Co. Ltd.,IT Equipment > Smart Gadgets (UNSPSC: 43211500),908000000.0,
